0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
16;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
32;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
48;0.000000;-0.492188;0.507812;0.007812;0.500000;0.500000;1.000000;0.000000;0.088042
64;0.000000;-0.484375;0.515625;0.015625;0.500000;0.500000;1.000000;0.000000;0.124020
80;0.000000;-0.476562;0.523438;0.023438;0.500000;0.500000;1.000000;0.000000;0.151288
96;0.000000;-0.468750;0.531250;0.031250;0.500000;0.500000;1.000000;0.000000;0.173993
112;0.000000;-0.460938;0.539062;0.039062;0.500000;0.500000;1.000000;0.000000;0.193744
128;0.000000;-0.453125;0.546875;0.046875;0.500000;0.500000;1.000000;0.000000;0.211371
144;0.000000;-0.445312;0.554688;0.054688;0.500000;0.500000;1.000000;0.000000;0.227369
160;0.000000;-0.437500;0.562500;0.062500;0.500000;0.500000;1.000000;0.000000;0.242061
176;0.000000;-0.429688;0.570312;0.070312;0.500000;0.500000;1.000000;0.000000;0.255673
192;0.000000;-0.421875;0.578125;0.078125;0.500000;0.500000;1.000000;0.000000;0.268368
208;0.000000;-0.421875;0.578125;0.078125;0.500000;0.500000;1.000000;0.000000;0.268368
224;0.000000;-0.406250;0.593750;0.093750;0.500000;0.500000;1.000000;0.000000;0.291481
240;0.000000;-0.398438;0.601562;0.101562;0.500000;0.500000;1.000000;0.000000;0.302072
256;0.000000;-0.390625;0.609375;0.109375;0.500000;0.500000;1.000000;0.000000;0.312109
272;0.000000;-0.382812;0.617188;0.117188;0.500000;0.500000;1.000000;0.000000;0.321644
288;0.000000;-0.375000;0.625000;0.125000;0.500000;0.500000;1.000000;0.000000;0.330719
304;0.000000;-0.367188;0.632812;0.132812;0.500000;0.500000;1.000000;0.000000;0.339372
320;0.000000;-0.359375;0.640625;0.140625;0.500000;0.500000;1.000000;0.000000;0.347634
336;0.000000;-0.351562;0.648438;0.148438;0.500000;0.500000;1.000000;0.000000;0.355533
352;0.000000;-0.343750;0.656250;0.156250;0.500000;0.500000;1.000000;0.000000;0.363092
368;0.000000;-0.335938;0.664062;0.164062;0.500000;0.500000;1.000000;0.000000;0.370332
384;0.000000;-0.328125;0.671875;0.171875;0.500000;0.500000;1.000000;0.000000;0.377272
400;0.000000;-0.320312;0.679688;0.179688;0.500000;0.500000;1.000000;0.000000;0.383927
416;0.000000;-0.312500;0.687500;0.187500;0.500000;0.500000;1.000000;0.000000;0.390312
432;0.000000;-0.304688;0.695312;0.195312;0.500000;0.500000;1.000000;0.000000;0.396441
448;0.000000;-0.296875;0.703125;0.203125;0.500000;0.500000;1.000000;0.000000;0.402325
464;0.000000;-0.289062;0.710938;0.210938;0.500000;0.500000;1.000000;0.000000;0.407974
480;0.000000;-0.281250;0.718750;0.218750;0.500000;0.500000;1.000000;0.000000;0.413399
496;0.000000;-0.273438;0.726562;0.226562;0.500000;0.500000;1.000000;0.000000;0.418607
512;0.000000;-0.265625;0.734375;0.234375;0.500000;0.500000;1.000000;0.000000;0.423608
528;0.000000;-0.257812;0.742188;0.242188;0.500000;0.500000;1.000000;0.000000;0.428407
544;0.000000;-0.250000;0.750000;0.250000;0.500000;0.500000;1.000000;0.000000;0.433013
560;0.000000;-0.242188;0.757812;0.257812;0.500000;0.500000;1.000000;0.000000;0.437430
576;0.000000;-0.234375;0.765625;0.265625;0.500000;0.500000;1.000000;0.000000;0.441665
592;0.000000;-0.226562;0.773438;0.273438;0.500000;0.500000;1.000000;0.000000;0.445724
608;0.000000;-0.218750;0.781250;0.281250;0.500000;0.500000;1.000000;0.000000;0.449609
624;0.000000;-0.210938;0.789062;0.289062;0.500000;0.500000;1.000000;0.000000;0.453327
640;0.000000;-0.203125;0.796875;0.296875;0.500000;0.500000;1.000000;0.000000;0.456881
656;0.000000;-0.195312;0.804688;0.304688;0.500000;0.500000;1.000000;0.000000;0.460275
672;0.000000;-0.195312;0.804688;0.304688;0.500000;0.500000;1.000000;0.000000;0.460275
688;0.000000;-0.179688;0.820312;0.320312;0.500000;0.500000;1.000000;0.000000;0.466597
704;0.000000;-0.171875;0.828125;0.328125;0.500000;0.500000;1.000000;0.000000;0.469531
720;0.000000;-0.164062;0.835938;0.335938;0.500000;0.500000;1.000000;0.000000;0.472317
736;0.000000;-0.156250;0.843750;0.343750;0.500000;0.500000;1.000000;0.000000;0.474959
752;0.000000;-0.148438;0.851562;0.351562;0.500000;0.500000;1.000000;0.000000;0.477458
768;0.000000;-0.140625;0.859375;0.359375;0.500000;0.500000;1.000000;0.000000;0.479817
784;0.000000;-0.132812;0.867188;0.367188;0.500000;0.500000;1.000000;0.000000;0.482038
800;0.000000;-0.125000;0.875000;0.375000;0.500000;0.500000;1.000000;0.000000;0.484123
816;0.000000;-0.117188;0.882812;0.382812;0.500000;0.500000;1.000000;0.000000;0.486073
832;0.000000;-0.109375;0.890625;0.390625;0.500000;0.500000;1.000000;0.000000;0.487890
848;0.000000;-0.101562;0.898438;0.398438;0.500000;0.500000;1.000000;0.000000;0.489576
864;0.000000;-0.093750;0.906250;0.406250;0.500000;0.500000;1.000000;0.000000;0.491132
880;0.000000;-0.085938;0.914062;0.414062;0.500000;0.500000;1.000000;0.000000;0.492559
896;0.000000;-0.078125;0.921875;0.421875;0.500000;0.500000;1.000000;0.000000;0.493859
912;0.000000;-0.070312;0.929688;0.429688;0.500000;0.500000;1.000000;0.000000;0.495031
